"models","params","target","forecast_date"
"UA-EpiCovDA",0,"4 wk ahead cum death","2021-04-12"
"epiforecasts-ensemble1",0,"4 wk ahead cum death","2021-04-12"
"CovidAnalytics-DELPHI",0,"4 wk ahead cum death","2021-04-12"
"MIT_CritData-GBCF",0,"4 wk ahead cum death","2021-04-12"
"CU-select",0,"4 wk ahead cum death","2021-04-12"
"LANL-GrowthRate",0,"4 wk ahead cum death","2021-04-12"
"USC-SI_kJalpha",0,"4 wk ahead cum death","2021-04-12"
"Covid19Sim-Simulator",0,"4 wk ahead cum death","2021-04-12"
"CEID-Walk",0,"4 wk ahead cum death","2021-04-12"
"COVIDhub-baseline",0,"4 wk ahead cum death","2021-04-12"
"DDS-NBDS",0,"4 wk ahead cum death","2021-04-12"
"JHUAPL-Bucky",0,"4 wk ahead cum death","2021-04-12"
"UMass-MechBayes",0.805664452797234,"3 wk ahead inc death","2021-04-12"
"RobertWalraven-ESG",0.127290738089082,"3 wk ahead inc death","2021-04-12"
"Karlen-pypm",0,"3 wk ahead inc death","2021-04-12"
"CU-select",0,"3 wk ahead inc death","2021-04-12"
"MOBS-GLEAM_COVID",0,"3 wk ahead inc death","2021-04-12"
"SteveMcConnell-CovidComplete",0,"3 wk ahead inc death","2021-04-12"
"LNQ-ens1",0,"3 wk ahead inc death","2021-04-12"
"Microsoft-DeepSTIA",0,"3 wk ahead inc death","2021-04-12"
"LANL-GrowthRate",0,"3 wk ahead inc death","2021-04-12"
"USC-SI_kJalpha",0,"3 wk ahead inc death","2021-04-12"
"UCSD_NEU-DeepGLEAM",0,"3 wk ahead inc death","2021-04-12"
"UA-EpiCovDA",0,"3 wk ahead inc death","2021-04-12"
"CovidAnalytics-DELPHI",0,"3 wk ahead inc death","2021-04-12"
"BPagano-RtDriven",0,"3 wk ahead inc death","2021-04-12"
"epiforecasts-ensemble1",0,"3 wk ahead inc death","2021-04-12"
"Covid19Sim-Simulator",0,"3 wk ahead inc death","2021-04-12"
"JHUAPL-Bucky",0,"3 wk ahead inc death","2021-04-12"
"CEID-Walk",0,"3 wk ahead inc death","2021-04-12"
"DDS-NBDS",0,"3 wk ahead inc death","2021-04-12"
"COVIDhub-baseline",0,"3 wk ahead inc death","2021-04-12"
"MIT_CritData-GBCF",0,"3 wk ahead inc death","2021-04-12"
"UMass-MechBayes",0.423169732439961,"3 wk ahead cum death","2021-04-12"
"BPagano-RtDriven",0.285304369484104,"3 wk ahead cum death","2021-04-12"
"Microsoft-DeepSTIA",0.0779157776343603,"3 wk ahead cum death","2021-04-12"
"LNQ-ens1",0.141788782433634,"3 wk ahead cum death","2021-04-12"
"MOBS-GLEAM_COVID",0.0706253297130223,"3 wk ahead cum death","2021-04-12"
"RobertWalraven-ESG",0,"3 wk ahead cum death","2021-04-12"
"SteveMcConnell-CovidComplete",0,"3 wk ahead cum death","2021-04-12"
"Karlen-pypm",0,"3 wk ahead cum death","2021-04-12"
"UA-EpiCovDA",0,"3 wk ahead cum death","2021-04-12"
"UCSD_NEU-DeepGLEAM",0,"3 wk ahead cum death","2021-04-12"
"epiforecasts-ensemble1",0,"3 wk ahead cum death","2021-04-12"
"USC-SI_kJalpha",0,"3 wk ahead cum death","2021-04-12"
"CovidAnalytics-DELPHI",0,"3 wk ahead cum death","2021-04-12"
"LANL-GrowthRate",0,"3 wk ahead cum death","2021-04-12"
"MIT_CritData-GBCF",0,"3 wk ahead cum death","2021-04-12"
"CU-select",0,"3 wk ahead cum death","2021-04-12"
"CEID-Walk",0,"3 wk ahead cum death","2021-04-12"
"DDS-NBDS",0,"3 wk ahead cum death","2021-04-12"
"COVIDhub-baseline",0,"3 wk ahead cum death","2021-04-12"
"Covid19Sim-Simulator",0,"3 wk ahead cum death","2021-04-12"
"JHUAPL-Bucky",0,"3 wk ahead cum death","2021-04-12"
"UMass-MechBayes",0.0923052859785009,"2 wk ahead inc death","2021-04-12"
"RobertWalraven-ESG",0.111108479922374,"2 wk ahead inc death","2021-04-12"
"SteveMcConnell-CovidComplete",0.294365194244148,"2 wk ahead inc death","2021-04-12"
"CU-select",0.162967930769597,"2 wk ahead inc death","2021-04-12"
"Microsoft-DeepSTIA",0.0106600059878704,"2 wk ahead inc death","2021-04-12"
"MOBS-GLEAM_COVID",0.190552493053453,"2 wk ahead inc death","2021-04-12"
"Karlen-pypm",0,"2 wk ahead inc death","2021-04-12"
"LNQ-ens1",0,"2 wk ahead inc death","2021-04-12"
"LANL-GrowthRate",0,"2 wk ahead inc death","2021-04-12"
"USC-SI_kJalpha",0,"2 wk ahead inc death","2021-04-12"
"CovidAnalytics-DELPHI",0,"2 wk ahead inc death","2021-04-12"
"UA-EpiCovDA",0,"2 wk ahead inc death","2021-04-12"
"UCSD_NEU-DeepGLEAM",0,"2 wk ahead inc death","2021-04-12"
"epiforecasts-ensemble1",0,"2 wk ahead inc death","2021-04-12"
"BPagano-RtDriven",0,"2 wk ahead inc death","2021-04-12"
"JHUAPL-Bucky",0,"2 wk ahead inc death","2021-04-12"
"CEID-Walk",0,"2 wk ahead inc death","2021-04-12"
"DDS-NBDS",0,"2 wk ahead inc death","2021-04-12"
"COVIDhub-baseline",0,"2 wk ahead inc death","2021-04-12"
"Covid19Sim-Simulator",0,"2 wk ahead inc death","2021-04-12"
"MIT_CritData-GBCF",0,"2 wk ahead inc death","2021-04-12"
"UMass-MechBayes",0.542963291478055,"2 wk ahead cum death","2021-04-12"
"SteveMcConnell-CovidComplete",0.0392167431952148,"2 wk ahead cum death","2021-04-12"
"BPagano-RtDriven",0.32285425385095,"2 wk ahead cum death","2021-04-12"
"MOBS-GLEAM_COVID",0.0930631666380595,"2 wk ahead cum death","2021-04-12"
"RobertWalraven-ESG",0,"2 wk ahead cum death","2021-04-12"
"LNQ-ens1",0,"2 wk ahead cum death","2021-04-12"
"Microsoft-DeepSTIA",0,"2 wk ahead cum death","2021-04-12"
"Karlen-pypm",0,"2 wk ahead cum death","2021-04-12"
"USC-SI_kJalpha",0,"2 wk ahead cum death","2021-04-12"
"UA-EpiCovDA",0,"2 wk ahead cum death","2021-04-12"
"CovidAnalytics-DELPHI",0,"2 wk ahead cum death","2021-04-12"
"epiforecasts-ensemble1",0,"2 wk ahead cum death","2021-04-12"
"UCSD_NEU-DeepGLEAM",0,"2 wk ahead cum death","2021-04-12"
"MIT_CritData-GBCF",0,"2 wk ahead cum death","2021-04-12"
"LANL-GrowthRate",0,"2 wk ahead cum death","2021-04-12"
"CEID-Walk",0,"2 wk ahead cum death","2021-04-12"
"CU-select",0,"2 wk ahead cum death","2021-04-12"
"DDS-NBDS",0,"2 wk ahead cum death","2021-04-12"
"COVIDhub-baseline",0,"2 wk ahead cum death","2021-04-12"
"JHUAPL-Bucky",0,"2 wk ahead cum death","2021-04-12"
"Covid19Sim-Simulator",0,"2 wk ahead cum death","2021-04-12"
"UMass-MechBayes",0.432133000737109,"1 wk ahead inc death","2021-04-12"
"SteveMcConnell-CovidComplete",0.285454668847247,"1 wk ahead inc death","2021-04-12"
"Microsoft-DeepSTIA",0.178508021411498,"1 wk ahead inc death","2021-04-12"
"LNQ-ens1",0,"1 wk ahead inc death","2021-04-12"
"RobertWalraven-ESG",0,"1 wk ahead inc death","2021-04-12"
"USC-SI_kJalpha",0,"1 wk ahead inc death","2021-04-12"
"MOBS-GLEAM_COVID",0,"1 wk ahead inc death","2021-04-12"
"UA-EpiCovDA",0,"1 wk ahead inc death","2021-04-12"
"CovidAnalytics-DELPHI",0,"1 wk ahead inc death","2021-04-12"
"Karlen-pypm",0,"1 wk ahead inc death","2021-04-12"
"LANL-GrowthRate",0,"1 wk ahead inc death","2021-04-12"
"CU-select",0,"1 wk ahead inc death","2021-04-12"
"epiforecasts-ensemble1",0,"1 wk ahead inc death","2021-04-12"
"CEID-Walk",0,"1 wk ahead inc death","2021-04-12"
"BPagano-RtDriven",0,"1 wk ahead inc death","2021-04-12"
"JHUAPL-Bucky",0,"1 wk ahead inc death","2021-04-12"
"UCSD_NEU-DeepGLEAM",0,"1 wk ahead inc death","2021-04-12"
"COVIDhub-baseline",0,"1 wk ahead inc death","2021-04-12"
"DDS-NBDS",0,"1 wk ahead inc death","2021-04-12"
"Covid19Sim-Simulator",0,"1 wk ahead inc death","2021-04-12"
"MIT_CritData-GBCF",0,"1 wk ahead inc death","2021-04-12"
"UMass-MechBayes",0.587444460157351,"1 wk ahead cum death","2021-04-12"
"BPagano-RtDriven",0.322742067209831,"1 wk ahead cum death","2021-04-12"
"MOBS-GLEAM_COVID",0.0893748453621632,"1 wk ahead cum death","2021-04-12"
"SteveMcConnell-CovidComplete",0,"1 wk ahead cum death","2021-04-12"
"LNQ-ens1",0,"1 wk ahead cum death","2021-04-12"
"Microsoft-DeepSTIA",0,"1 wk ahead cum death","2021-04-12"
"Karlen-pypm",0,"1 wk ahead cum death","2021-04-12"
"CovidAnalytics-DELPHI",0,"1 wk ahead cum death","2021-04-12"
"USC-SI_kJalpha",0,"1 wk ahead cum death","2021-04-12"
"epiforecasts-ensemble1",0,"1 wk ahead cum death","2021-04-12"
"UA-EpiCovDA",0,"1 wk ahead cum death","2021-04-12"
"COVIDhub-baseline",0,"1 wk ahead cum death","2021-04-12"
"UCSD_NEU-DeepGLEAM",0,"1 wk ahead cum death","2021-04-12"
"CEID-Walk",0,"1 wk ahead cum death","2021-04-12"
"MIT_CritData-GBCF",0,"1 wk ahead cum death","2021-04-12"
"RobertWalraven-ESG",0,"1 wk ahead cum death","2021-04-12"
"LANL-GrowthRate",0,"1 wk ahead cum death","2021-04-12"
"DDS-NBDS",0,"1 wk ahead cum death","2021-04-12"
"CU-select",0,"1 wk ahead cum death","2021-04-12"
"JHUAPL-Bucky",0,"1 wk ahead cum death","2021-04-12"
"Covid19Sim-Simulator",0,"1 wk ahead cum death","2021-04-12"
"UMass-MechBayes",0.811242115493471,"4 wk ahead inc death","2021-04-19"
"RobertWalraven-ESG",0.144990921824884,"4 wk ahead inc death","2021-04-19"
"Karlen-pypm",0,"4 wk ahead inc death","2021-04-19"
"MOBS-GLEAM_COVID",0,"4 wk ahead inc death","2021-04-19"
"CU-select",0,"4 wk ahead inc death","2021-04-19"
"LNQ-ens1",0,"4 wk ahead inc death","2021-04-19"
"USC-SI_kJalpha",0,"4 wk ahead inc death","2021-04-19"
"SteveMcConnell-CovidComplete",0,"4 wk ahead inc death","2021-04-19"
"UCSD_NEU-DeepGLEAM",0,"4 wk ahead inc death","2021-04-19"
"UA-EpiCovDA",0,"4 wk ahead inc death","2021-04-19"
"LANL-GrowthRate",0,"4 wk ahead inc death","2021-04-19"
"Microsoft-DeepSTIA",0,"4 wk ahead inc death","2021-04-19"
"CovidAnalytics-DELPHI",0,"4 wk ahead inc death","2021-04-19"
"BPagano-RtDriven",0,"4 wk ahead inc death","2021-04-19"
"epiforecasts-ensemble1",0,"4 wk ahead inc death","2021-04-19"
"Covid19Sim-Simulator",0,"4 wk ahead inc death","2021-04-19"
"JHUAPL-Bucky",0,"4 wk ahead inc death","2021-04-19"
"CEID-Walk",0,"4 wk ahead inc death","2021-04-19"
"DDS-NBDS",0,"4 wk ahead inc death","2021-04-19"
"COVIDhub-baseline",0,"4 wk ahead inc death","2021-04-19"
"MIT_CritData-GBCF",0,"4 wk ahead inc death","2021-04-19"
"UMass-MechBayes",0.280152627678657,"4 wk ahead cum death","2021-04-19"
"RobertWalraven-ESG",0.0527467144000501,"4 wk ahead cum death","2021-04-19"
"MOBS-GLEAM_COVID",0.13422170423746,"4 wk ahead cum death","2021-04-19"
"Microsoft-DeepSTIA",0.106190531380524,"4 wk ahead cum death","2021-04-19"
"SteveMcConnell-CovidComplete",0.0315719689164727,"4 wk ahead cum death","2021-04-19"
"LNQ-ens1",0.0527088796733391,"4 wk ahead cum death","2021-04-19"
"BPagano-RtDriven",0.214297581564187,"4 wk ahead cum death","2021-04-19"
"Karlen-pypm",0.126915257144108,"4 wk ahead cum death","2021-04-19"
"UCSD_NEU-DeepGLEAM",0,"4 wk ahead cum death","2021-04-19"
"UA-EpiCovDA",0,"4 wk ahead cum death","2021-04-19"
"USC-SI_kJalpha",0,"4 wk ahead cum death","2021-04-19"
"CU-select",0,"4 wk ahead cum death","2021-04-19"
"LANL-GrowthRate",0,"4 wk ahead cum death","2021-04-19"
"epiforecasts-ensemble1",0,"4 wk ahead cum death","2021-04-19"
"CovidAnalytics-DELPHI",0,"4 wk ahead cum death","2021-04-19"
"MIT_CritData-GBCF",0,"4 wk ahead cum death","2021-04-19"
"CEID-Walk",0,"4 wk ahead cum death","2021-04-19"
"Covid19Sim-Simulator",0,"4 wk ahead cum death","2021-04-19"
"DDS-NBDS",0,"4 wk ahead cum death","2021-04-19"
"COVIDhub-baseline",0,"4 wk ahead cum death","2021-04-19"
"JHUAPL-Bucky",0,"4 wk ahead cum death","2021-04-19"
"LNQ-ens1",0.768816362074463,"4 wk ahead inc case","2021-04-19"
"LANL-GrowthRate",-0.0649557024934042,"4 wk ahead inc case","2021-04-19"
"IEM_MED-CovidProject",0.542946236871847,"4 wk ahead inc case","2021-04-19"
"COVIDhub-baseline",0,"4 wk ahead inc case","2021-04-19"
"CEID-Walk",0,"4 wk ahead inc case","2021-04-19"
"MOBS-GLEAM_COVID",0,"4 wk ahead inc case","2021-04-19"
"JHU_CSSE-DECOM",0,"4 wk ahead inc case","2021-04-19"
"CU-select",0,"4 wk ahead inc case","2021-04-19"
"USC-SI_kJalpha",0,"4 wk ahead inc case","2021-04-19"
"Karlen-pypm",0,"4 wk ahead inc case","2021-04-19"
"Microsoft-DeepSTIA",0,"4 wk ahead inc case","2021-04-19"
"UVA-Ensemble",0,"4 wk ahead inc case","2021-04-19"
"RobertWalraven-ESG",0,"4 wk ahead inc case","2021-04-19"
"BPagano-RtDriven",0,"4 wk ahead inc case","2021-04-19"
"JHUAPL-Bucky",0,"4 wk ahead inc case","2021-04-19"
"Covid19Sim-Simulator",0,"4 wk ahead inc case","2021-04-19"
"CovidAnalytics-DELPHI",0,"4 wk ahead inc case","2021-04-19"
"UMass-MechBayes",0.353288475024464,"3 wk ahead inc death","2021-04-19"
"RobertWalraven-ESG",0.0400488852491041,"3 wk ahead inc death","2021-04-19"
"MOBS-GLEAM_COVID",0.298645444549396,"3 wk ahead inc death","2021-04-19"
"CU-select",0.194648021922553,"3 wk ahead inc death","2021-04-19"
"LNQ-ens1",0,"3 wk ahead inc death","2021-04-19"
"Microsoft-DeepSTIA",0,"3 wk ahead inc death","2021-04-19"
"Karlen-pypm",0,"3 wk ahead inc death","2021-04-19"
"LANL-GrowthRate",0,"3 wk ahead inc death","2021-04-19"
"USC-SI_kJalpha",0,"3 wk ahead inc death","2021-04-19"
"SteveMcConnell-CovidComplete",0,"3 wk ahead inc death","2021-04-19"
"UCSD_NEU-DeepGLEAM",0,"3 wk ahead inc death","2021-04-19"
"CovidAnalytics-DELPHI",0,"3 wk ahead inc death","2021-04-19"
"UA-EpiCovDA",0,"3 wk ahead inc death","2021-04-19"
"epiforecasts-ensemble1",0,"3 wk ahead inc death","2021-04-19"
"BPagano-RtDriven",0,"3 wk ahead inc death","2021-04-19"
"JHUAPL-Bucky",0,"3 wk ahead inc death","2021-04-19"
"CEID-Walk",0,"3 wk ahead inc death","2021-04-19"
"DDS-NBDS",0,"3 wk ahead inc death","2021-04-19"
"Covid19Sim-Simulator",0,"3 wk ahead inc death","2021-04-19"
"COVIDhub-baseline",0,"3 wk ahead inc death","2021-04-19"
"MIT_CritData-GBCF",0,"3 wk ahead inc death","2021-04-19"
"UMass-MechBayes",0.552021232281987,"3 wk ahead cum death","2021-04-19"
"RobertWalraven-ESG",0.0754455096348738,"3 wk ahead cum death","2021-04-19"
"MOBS-GLEAM_COVID",0.223105677628847,"3 wk ahead cum death","2021-04-19"
"SteveMcConnell-CovidComplete",0.0250709541492061,"3 wk ahead cum death","2021-04-19"
"Microsoft-DeepSTIA",0.12206905989251,"3 wk ahead cum death","2021-04-19"
"LNQ-ens1",0,"3 wk ahead cum death","2021-04-19"
"Karlen-pypm",0,"3 wk ahead cum death","2021-04-19"
"BPagano-RtDriven",0,"3 wk ahead cum death","2021-04-19"
"USC-SI_kJalpha",0,"3 wk ahead cum death","2021-04-19"
"UA-EpiCovDA",0,"3 wk ahead cum death","2021-04-19"
"UCSD_NEU-DeepGLEAM",0,"3 wk ahead cum death","2021-04-19"
"CovidAnalytics-DELPHI",0,"3 wk ahead cum death","2021-04-19"
"CU-select",0,"3 wk ahead cum death","2021-04-19"
"LANL-GrowthRate",0,"3 wk ahead cum death","2021-04-19"
"epiforecasts-ensemble1",0,"3 wk ahead cum death","2021-04-19"
"MIT_CritData-GBCF",0,"3 wk ahead cum death","2021-04-19"
"CEID-Walk",0,"3 wk ahead cum death","2021-04-19"
"DDS-NBDS",0,"3 wk ahead cum death","2021-04-19"
"COVIDhub-baseline",0,"3 wk ahead cum death","2021-04-19"
"JHUAPL-Bucky",0,"3 wk ahead cum death","2021-04-19"
"Covid19Sim-Simulator",0,"3 wk ahead cum death","2021-04-19"
"LNQ-ens1",0.251504352790531,"3 wk ahead inc case","2021-04-19"
"IEM_MED-CovidProject",0.183997086415215,"3 wk ahead inc case","2021-04-19"
"LANL-GrowthRate",0.0133227708721812,"3 wk ahead inc case","2021-04-19"
"CU-select",0.288621063703036,"3 wk ahead inc case","2021-04-19"
"JHU_CSSE-DECOM",0.250685661571387,"3 wk ahead inc case","2021-04-19"
"USC-SI_kJalpha",0.169371675480222,"3 wk ahead inc case","2021-04-19"
"COVIDhub-baseline",0,"3 wk ahead inc case","2021-04-19"
"CEID-Walk",0,"3 wk ahead inc case","2021-04-19"
"Microsoft-DeepSTIA",0,"3 wk ahead inc case","2021-04-19"
"MOBS-GLEAM_COVID",0,"3 wk ahead inc case","2021-04-19"
"Karlen-pypm",0,"3 wk ahead inc case","2021-04-19"
"UVA-Ensemble",0,"3 wk ahead inc case","2021-04-19"
"RobertWalraven-ESG",0,"3 wk ahead inc case","2021-04-19"
"BPagano-RtDriven",0,"3 wk ahead inc case","2021-04-19"
"Covid19Sim-Simulator",0,"3 wk ahead inc case","2021-04-19"
"JHUAPL-Bucky",0,"3 wk ahead inc case","2021-04-19"
"CovidAnalytics-DELPHI",0,"3 wk ahead inc case","2021-04-19"
"UMass-MechBayes",0.443740404636149,"2 wk ahead inc death","2021-04-19"
"RobertWalraven-ESG",0.073297050486482,"2 wk ahead inc death","2021-04-19"
"MOBS-GLEAM_COVID",0.3896129732621,"2 wk ahead inc death","2021-04-19"
"LANL-GrowthRate",0,"2 wk ahead inc death","2021-04-19"
"LNQ-ens1",0,"2 wk ahead inc death","2021-04-19"
"Microsoft-DeepSTIA",0,"2 wk ahead inc death","2021-04-19"
"SteveMcConnell-CovidComplete",0,"2 wk ahead inc death","2021-04-19"
"USC-SI_kJalpha",0,"2 wk ahead inc death","2021-04-19"
"CU-select",0,"2 wk ahead inc death","2021-04-19"
"CovidAnalytics-DELPHI",0,"2 wk ahead inc death","2021-04-19"
"Karlen-pypm",0,"2 wk ahead inc death","2021-04-19"
"UA-EpiCovDA",0,"2 wk ahead inc death","2021-04-19"
"UCSD_NEU-DeepGLEAM",0,"2 wk ahead inc death","2021-04-19"
"IHME-CurveFit",0,"2 wk ahead inc death","2021-04-19"
"epiforecasts-ensemble1",0,"2 wk ahead inc death","2021-04-19"
"CEID-Walk",0,"2 wk ahead inc death","2021-04-19"
"MITCovAlliance-SIR",0,"2 wk ahead inc death","2021-04-19"
"COVIDhub-baseline",0,"2 wk ahead inc death","2021-04-19"
"BPagano-RtDriven",0,"2 wk ahead inc death","2021-04-19"
"JHUAPL-Bucky",0,"2 wk ahead inc death","2021-04-19"
"DDS-NBDS",0,"2 wk ahead inc death","2021-04-19"
"Covid19Sim-Simulator",0,"2 wk ahead inc death","2021-04-19"
"MIT_CritData-GBCF",0,"2 wk ahead inc death","2021-04-19"
"UMass-MechBayes",0.712436188273573,"2 wk ahead cum death","2021-04-19"
"MOBS-GLEAM_COVID",0.286389569489577,"2 wk ahead cum death","2021-04-19"
"SteveMcConnell-CovidComplete",0,"2 wk ahead cum death","2021-04-19"
"Microsoft-DeepSTIA",0,"2 wk ahead cum death","2021-04-19"
"USC-SI_kJalpha",0,"2 wk ahead cum death","2021-04-19"
"LNQ-ens1",0,"2 wk ahead cum death","2021-04-19"
"Karlen-pypm",0,"2 wk ahead cum death","2021-04-19"
"BPagano-RtDriven",0,"2 wk ahead cum death","2021-04-19"
"RobertWalraven-ESG",0,"2 wk ahead cum death","2021-04-19"
"CovidAnalytics-DELPHI",0,"2 wk ahead cum death","2021-04-19"
"LANL-GrowthRate",0,"2 wk ahead cum death","2021-04-19"
"epiforecasts-ensemble1",0,"2 wk ahead cum death","2021-04-19"
"UA-EpiCovDA",0,"2 wk ahead cum death","2021-04-19"
"UCSD_NEU-DeepGLEAM",0,"2 wk ahead cum death","2021-04-19"
"MIT_CritData-GBCF",0,"2 wk ahead cum death","2021-04-19"
"CEID-Walk",0,"2 wk ahead cum death","2021-04-19"
"COVIDhub-baseline",0,"2 wk ahead cum death","2021-04-19"
"CU-select",0,"2 wk ahead cum death","2021-04-19"
"DDS-NBDS",0,"2 wk ahead cum death","2021-04-19"
"IHME-CurveFit",0,"2 wk ahead cum death","2021-04-19"
"JHUAPL-Bucky",0,"2 wk ahead cum death","2021-04-19"
"Covid19Sim-Simulator",0,"2 wk ahead cum death","2021-04-19"
"LNQ-ens1",0.402098211679533,"2 wk ahead inc case","2021-04-19"
"Microsoft-DeepSTIA",0.0397046375196914,"2 wk ahead inc case","2021-04-19"
"JHU_CSSE-DECOM",0.481896639881508,"2 wk ahead inc case","2021-04-19"
"IEM_MED-CovidProject",0.138921640559582,"2 wk ahead inc case","2021-04-19"
"COVIDhub-baseline",0,"2 wk ahead inc case","2021-04-19"
"USC-SI_kJalpha",0,"2 wk ahead inc case","2021-04-19"
"CEID-Walk",0,"2 wk ahead inc case","2021-04-19"
"LANL-GrowthRate",0,"2 wk ahead inc case","2021-04-19"
"CU-select",0,"2 wk ahead inc case","2021-04-19"
"Karlen-pypm",0,"2 wk ahead inc case","2021-04-19"
"MOBS-GLEAM_COVID",0,"2 wk ahead inc case","2021-04-19"
"UVA-Ensemble",0,"2 wk ahead inc case","2021-04-19"
"RobertWalraven-ESG",0,"2 wk ahead inc case","2021-04-19"
"Covid19Sim-Simulator",0,"2 wk ahead inc case","2021-04-19"
"BPagano-RtDriven",0,"2 wk ahead inc case","2021-04-19"
"JHUAPL-Bucky",0,"2 wk ahead inc case","2021-04-19"
"CovidAnalytics-DELPHI",0,"2 wk ahead inc case","2021-04-19"
"UMass-MechBayes",0.460479534784451,"1 wk ahead inc death","2021-04-19"
"Microsoft-DeepSTIA",0.176041896517186,"1 wk ahead inc death","2021-04-19"
"SteveMcConnell-CovidComplete",0.0941807867553559,"1 wk ahead inc death","2021-04-19"
"MOBS-GLEAM_COVID",0.170933299993875,"1 wk ahead inc death","2021-04-19"
"LNQ-ens1",0.0260376585795285,"1 wk ahead inc death","2021-04-19"
"RobertWalraven-ESG",0,"1 wk ahead inc death","2021-04-19"
"LANL-GrowthRate",0,"1 wk ahead inc death","2021-04-19"
"UA-EpiCovDA",0,"1 wk ahead inc death","2021-04-19"
"DDS-NBDS",0,"1 wk ahead inc death","2021-04-19"
"USC-SI_kJalpha",0,"1 wk ahead inc death","2021-04-19"
"epiforecasts-ensemble1",0,"1 wk ahead inc death","2021-04-19"
"CU-select",0,"1 wk ahead inc death","2021-04-19"
"CEID-Walk",0,"1 wk ahead inc death","2021-04-19"
"CovidAnalytics-DELPHI",0,"1 wk ahead inc death","2021-04-19"
"IEM_MED-CovidProject",0,"1 wk ahead inc death","2021-04-19"
"Karlen-pypm",0,"1 wk ahead inc death","2021-04-19"
"BPagano-RtDriven",0,"1 wk ahead inc death","2021-04-19"
"UCSD_NEU-DeepGLEAM",0,"1 wk ahead inc death","2021-04-19"
"JHUAPL-Bucky",0,"1 wk ahead inc death","2021-04-19"
"COVIDhub-baseline",0,"1 wk ahead inc death","2021-04-19"
"Covid19Sim-Simulator",0,"1 wk ahead inc death","2021-04-19"
"MIT_CritData-GBCF",0,"1 wk ahead inc death","2021-04-19"
"UMass-MechBayes",0.391438184682761,"1 wk ahead cum death","2021-04-19"
"MOBS-GLEAM_COVID",0.367537975656699,"1 wk ahead cum death","2021-04-19"
"BPagano-RtDriven",0.24083851996341,"1 wk ahead cum death","2021-04-19"
"Microsoft-DeepSTIA",0,"1 wk ahead cum death","2021-04-19"
"LNQ-ens1",0,"1 wk ahead cum death","2021-04-19"
"epiforecasts-ensemble1",0,"1 wk ahead cum death","2021-04-19"
"Karlen-pypm",0,"1 wk ahead cum death","2021-04-19"
"SteveMcConnell-CovidComplete",0,"1 wk ahead cum death","2021-04-19"
"USC-SI_kJalpha",0,"1 wk ahead cum death","2021-04-19"
"CovidAnalytics-DELPHI",0,"1 wk ahead cum death","2021-04-19"
"CEID-Walk",0,"1 wk ahead cum death","2021-04-19"
"DDS-NBDS",0,"1 wk ahead cum death","2021-04-19"
"UCSD_NEU-DeepGLEAM",0,"1 wk ahead cum death","2021-04-19"
"LANL-GrowthRate",0,"1 wk ahead cum death","2021-04-19"
"UA-EpiCovDA",0,"1 wk ahead cum death","2021-04-19"
"MIT_CritData-GBCF",0,"1 wk ahead cum death","2021-04-19"
"COVIDhub-baseline",0,"1 wk ahead cum death","2021-04-19"
